Entity,Date,Cases,Deaths,Daily tests,iso_alpha,month
Mexico,2020-01-01,0.0,0.0,25.0,MEX,1
Mexico,2020-01-02,0.0,0.0,72.0,MEX,1
Mexico,2020-01-03,0.0,0.0,89.0,MEX,1
Thailand,2020-01-04,0.0,0.0,2.0,THA,1
Mexico,2020-01-04,0.0,0.0,45.0,MEX,1
Thailand,2020-01-05,0.0,0.0,2.0,THA,1
Mexico,2020-01-05,0.0,0.0,81.0,MEX,1
Thailand,2020-01-06,0.0,0.0,5.0,THA,1
Mexico,2020-01-06,0.0,0.0,167.0,MEX,1
Mexico,2020-01-07,0.0,0.0,187.0,MEX,1
Mexico,2020-01-08,0.0,0.0,169.0,MEX,1
Thailand,2020-01-08,0.0,0.0,1.0,THA,1
Mexico,2020-01-09,0.0,0.0,190.0,MEX,1
Thailand,2020-01-09,0.0,0.0,13.0,THA,1
Mexico,2020-01-10,0.0,0.0,149.0,MEX,1
Thailand,2020-01-10,0.0,0.0,18.0,THA,1
Thailand,2020-01-11,0.0,0.0,3.0,THA,1
Mexico,2020-01-11,0.0,0.0,45.0,MEX,1
Thailand,2020-01-12,0.0,0.0,6.0,THA,1
Mexico,2020-01-12,0.0,0.0,130.0,MEX,1
Thailand,2020-01-13,1.0,0.0,14.0,THA,1
Mexico,2020-01-13,0.0,0.0,227.0,MEX,1
Mexico,2020-01-14,1.0,0.0,240.0,MEX,1
Thailand,2020-01-14,1.0,0.0,7.0,THA,1
Japan,2020-01-15,1.0,0.0,0.0,JPN,1
Thailand,2020-01-15,1.0,0.0,12.0,THA,1
Mexico,2020-01-15,1.0,0.0,266.0,MEX,1
Thailand,2020-01-16,1.0,0.0,9.0,THA,1
Japan,2020-01-16,1.0,0.0,0.0,JPN,1
Mexico,2020-01-16,1.0,0.0,232.0,MEX,1
Mexico,2020-01-17,1.0,0.0,186.0,MEX,1
Thailand,2020-01-17,2.0,0.0,5.0,THA,1
Japan,2020-01-17,1.0,0.0,0.0,JPN,1
Thailand,2020-01-18,2.0,0.0,23.0,THA,1
Mexico,2020-01-18,1.0,0.0,69.0,MEX,1
Japan,2020-01-18,1.0,0.0,0.0,JPN,1
Thailand,2020-01-19,2.0,0.0,6.0,THA,1
Japan,2020-01-19,1.0,0.0,0.0,JPN,1
Mexico,2020-01-19,1.0,0.0,123.0,MEX,1
Thailand,2020-01-20,2.0,0.0,48.0,THA,1
Japan,2020-01-20,1.0,0.0,0.0,JPN,1
Mexico,2020-01-20,1.0,0.0,293.0,MEX,1
Thailand,2020-01-21,2.0,0.0,12.0,THA,1
United States,2020-01-21,1.0,0.0,0.0,USA,1
Mexico,2020-01-21,1.0,0.0,276.0,MEX,1
